"id","Industrial_Internet_Summit","Smart_Home_Summit","Smart_Cities_Summit","Construction_Companies","Transport_Companies","Manufacturers","Smart_Home_OEM's","Smart_Home_Platform_Providers","Technology_Providers/Vendors","Telecom_Operators","Retailers","Other","Government_Organisation_or_City_Authority","Utility_Companies","Insurance_Companies","ClientIndustry"
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Utility"
2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,"Technology_Provider/Vendor"
3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"Telecom_Operator"
4,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,"Telecom_Operator"
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Telecom_Operator"
6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"Technology_Provider/Vendor"
7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"Government_Organisation_or_City_Authority"
8,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,"Manufacturer"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Utility"
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Telecom_Operator"
11,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,"Utility"
12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Insurance_Company"
13,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,"Manufacturer"
14,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,"Smart_Home_OEM"
15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Insurance_Company"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manufacturer"
17,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,"Technology_Provider/Vendor"
18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Technology_Provider/Vendor"
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Smart_Home_OEM"
20,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,"Smart_Home_OEM"
21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"Technology_Provider/Vendor"
22,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,"Manufacturer"
23,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,"Manufacturer"
24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Retailer"
25,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,"Telecom_Operator"
26,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,"Other"
27,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,"Manufacturer"
28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Smart_Home_OEM"
29,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,"Technology_Provider/Vendor"
30,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,"Technology_Provider/Vendor"
31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Other"
32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Other"
33,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,"Technology_Provider/Vendor"
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
36,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,"Manufacturer"
37,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,"Technology_Provider/Vendor"
38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
39,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"Other"
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Other"
42,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,"Other"
43,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,"Construction_Company"
44,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Manufacturer"
45,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"Smart_Home_OEM"
46,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,"Other"
47,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,"Other"
48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Technology_Provider/Vendor"
49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Technology_Provider/Vendor"
50,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,"Technology_Provider/Vendor"
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smart_Home_OEM"
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
53,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,"Other"
54,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"Smart_Home_OEM"
55,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"Smart_Home_OEM"
56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
57,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,"Other"
58,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,"Technology_Provider/Vendor"
59,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,"Government_Organisation_or_City_Authority"
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smart_Home_OEM"
61,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,"Construction_Company"
62,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"Other"
63,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,"Manufacturer"
64,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"Other"
65,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,"Other"
66,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Manufacturer"
69,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Other"
70,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,"Other"
71,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,"Other"
72,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,"Other"
73,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"Technology_Provider/Vendor"
74,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Other"
75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Technology_Provider/Vendor"
76,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,"Other"
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smart_Home_OEM"
78,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,"Technology_Provider/Vendor"
79,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Other"
80,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Other"
81,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,"Other"
82,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"Other"
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
84,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Technology_Provider/Vendor"
85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Technology_Provider/Vendor"
86,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Smart_Home_OEM"
87,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,"Technology_Provider/Vendor"
88,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,"Other"
89,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,"Other"
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
91,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Other"
93,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,"Other"
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Utility"
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
97,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,NA
98,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Manufacturer"
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Smart_Home_OEM"
101,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"Other"
102,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,"Retailer"
103,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
105,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Technology_Provider/Vendor"
106,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,"Smart_Home_OEM"
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Telecom_Operator"
108,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,"Other"
109,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Manufacturer"
110,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,"Utility"
111,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,NA
112,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,"Technology_Provider/Vendor"
113,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,"Technology_Provider/Vendor"
114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Manufacturer"
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
116,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,"Other"
117,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"Utility"
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
119,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,"Manufacturer"
120,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"Smart_Home_OEM"
121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Manufacturer"
123,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,"Other"
124,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,"Retailer"
125,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,"Retailer"
126,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
127,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,"Other"
128,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"Other"
129,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,"Other"
130,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,"Construction_Company"
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smart_Home_OEM"
132,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,"Telecom_Operator"
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manufacturer"
134,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Other"
135,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,"Technology_Provider/Vendor"
136,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,"Technology_Provider/Vendor"
137,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Manufacturer"
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
139,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,"Other"
140,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Other"
141,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Manufacturer"
142,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
145,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,"Other"
146,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Manufacturer"
147,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,"Technology_Provider/Vendor"
148,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,"Technology_Provider/Vendor"
149,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,"Insurance_Company"
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
152,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,"Smart_Home_OEM"
153,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Manufacturer"
154,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,"Manufacturer"
155,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"Smart_Home_OEM"
156,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,"Smart_Home_OEM"
157,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,"Utility"
158,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,"Utility"
159,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Other"
160,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,"Utility"
161,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,"Government_Organisation_or_City_Authority"
162,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,"Smart_Home_OEM"
163,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Manufacturer"
164,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,"Manufacturer"
165,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,"Technology_Provider/Vendor"
166,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"Technology_Provider/Vendor"
167,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,"Technology_Provider/Vendor"
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
169,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"Telecom_Operator"
170,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Other"
172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Other"
173,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,"Smart_Home_OEM"
174,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,"Smart_Home_OEM"
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smart_Home_OEM"
176,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,"Smart_Home_OEM"
177,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,"Construction_Company"
178,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technology_Provider/Vendor"
179,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"Technology_Provider/Vendor"
180,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,"Smart_Home_OEM"
181,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,"Technology_Provider/Vendor"
182,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,"Technology_Provider/Vendor"
183,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,"Other"
184,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,"Technology_Provider/Vendor"
185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Retailer"
186,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,"Other"
187,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,"Other"
188,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,"Telecom_Operator"
189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Smart_Home_OEM"
190,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,"Telecom_Operator"
191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Smart_Home_OEM"
